# Source File: https://github.com/Esri/military-features-data/blob/master/test/TestReproData/Mil-2525C-Wildcards.csv
# License: Apache V2: https://github.com/Esri/military-features-data/blob/master/license.txt
# Full SIDC,SIDC By Parts,Hierarchy Code,Name,Geometry
S*G*EVCML------,S * G * EV CM L- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.MPV.VAN,Van Multiple Passenger Vehicle,
S*G*EVCO-------,S * G * EV CO -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.OBTRK,Open-Bed Truck,
S*G*EVCOH------,S * G * EV CO H- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.OBTRK.LRG,Large Open-Bed Truck,
S*G*EVCOL------,S * G * EV CO L- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.OBTRK.PU,Pickup Open-Bed Truck,
S*G*EVCOM------,S * G * EV CO M- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.OBTRK.SMAL,Small Open-Bed Truck,
S*G*EVCT-------,S * G * EV CT -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.TRTRL,Tractor Trailer Truck With Box Trailer,
S*G*EVCTH------,S * G * EV CT H- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.TRTRL.LRG,Large/Heavy Box Trailer Tractor Trailer Truck,
S*G*EVCTM------,S * G * EV CT M- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.TRTRL.MDM,Medium Box Trailer Tractor Trailer Truck,
S*G*EVCTL------,S * G * EV CT L- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.TRTRL.SMAL,Small/Light Box Trailer Tractor Trailer Truck,
S*G*EVCF-------,S * G * EV CF -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.TRTRLF,Tractor Trailer Truck With Flatbed Trailer,
S*G*EVCFH------,S * G * EV CF H- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.TRTRLF.LRG,Large/Heavy Flatbed Trailer Tractor Trailer Truck,
S*G*EVCFM------,S * G * EV CF M- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.TRTRLF.MDM,Medium Flatbed Trailer Tractor Trailer Truck,
S*G*EVCFL------,S * G * EV CF L- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.TRTRLF.SMAL,Small/Light Flatbed Trailer Tractor Trailer Truck,
S*G*EVCU-------,S * G * EV CU -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.UTYVEH,Utility Vehicle,
S*G*EVCUH------,S * G * EV CU H- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.UTYVEH.LBOX,Large Box Truck Utility Vehicle,
S*G*EVCUM------,S * G * EV CU M- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.UTYVEH.SBOX,Small Box Truck Utility Vehicle,
S*G*EVCUL------,S * G * EV CU L- ** ** *,WAR.GRDTRK.EQT.GRDVEH.CVLVEH.UTYVEH.SUV,Sport Utility Vehicle (Suv) Utility Vehicle,
S*G*EVE--------,S * G * EV E- -- ** ** *,WAR.GRDTRK.EQT.GRDVEH.ENGVEH,Engineer Vehicle,
